"Date","Nickname","State","Location","Max.Temperature..C.","isFire"
"3/11/80","1980 Waterfall bushfire","New South Wales","Waterfall",18.5,TRUE
"28/12/80","1980 Victoria bushfire","Victoria","Sunset Country",35.9,TRUE
"29/12/80","1980 Victoria bushfire","Victoria","Sunset Country",31.8,TRUE
"30/12/80","1980 Victoria bushfire","Victoria","Sunset Country",35.1,TRUE
"31/12/80","1980 Victoria bushfire","Victoria","Sunset Country",42.9,TRUE
"1/1/81","1980 Victoria bushfire","Victoria","Sunset Country",44.4,TRUE
"2/1/81","1980 Victoria bushfire","Victoria","Sunset Country",42.9,TRUE
"3/1/81","1980 Victoria bushfire","Victoria","Sunset Country",39.4,TRUE
"4/1/81","1980 Victoria bushfire","Victoria","Sunset Country",31.9,TRUE
"5/1/81","1980 Victoria bushfire","Victoria","Sunset Country",36.4,TRUE
"6/1/81","1980 Victoria bushfire","Victoria","Sunset Country",38.1,TRUE
"28/12/80","1980 Victoria bushfire","Victoria","Big Desert",31.7,TRUE
"29/12/80","1980 Victoria bushfire","Victoria","Big Desert",30.4,TRUE
"30/12/80","1980 Victoria bushfire","Victoria","Big Desert",34.3,TRUE
"31/12/80","1980 Victoria bushfire","Victoria","Big Desert",40.7,TRUE
"1/1/81","1980 Victoria bushfire","Victoria","Big Desert",41.4,TRUE
"2/1/81","1980 Victoria bushfire","Victoria","Big Desert",40.8,TRUE
"3/1/81","1980 Victoria bushfire","Victoria","Big Desert",33.3,TRUE
"4/1/81","1980 Victoria bushfire","Victoria","Big Desert",30.9,TRUE
"5/1/81","1980 Victoria bushfire","Victoria","Big Desert",35.1,TRUE
"6/1/81","1980 Victoria bushfire","Victoria","Big Desert",35.8,TRUE
"9/1/83","1983 Grays Point bushfire","New South Wales","Grays Point",41.4,TRUE
"31/1/83","1983 Cann River bushfire","Victoria","Cann River",32.6,TRUE
"1/2/83","1983 Victoria bushfire","Victoria","Mt Macedon",39,TRUE
"16/2/83","1983 Ash Wednesday bushfires","Victoria","Branxholme",44,TRUE
"16/2/83","1983 Ash Wednesday bushfires","Victoria","East Trentham",36.7,TRUE
"16/2/83","1983 Ash Wednesday bushfires","Victoria","Mt Macedon",39.9,TRUE
"16/2/83","1983 Ash Wednesday bushfires","Victoria","the Otway Ranges",41.5,TRUE
"16/2/83","1983 Ash Wednesday bushfires","Victoria","Belgrave Heights",41.3,TRUE
"16/2/83","1983 Ash Wednesday bushfires","Victoria","Warburton",37,TRUE
"16/2/83","1983 Ash Wednesday bushfires","Victoria","Cockatoo",41.3,TRUE
"16/2/83","1983 Ash Wednesday bushfires","Victoria","Beaconsfield Upper",35.6,TRUE
"16/2/83","1983 Ash Wednesday bushfires","Victoria","Framlingham",41.5,TRUE
"16/2/83","1983 Ash Wednesday bushfires","South Australia","Adelaide Hills",38.9,TRUE
"16/2/83","1983 Ash Wednesday bushfires","South Australia","Mt Gambier",43.6,TRUE
"25/12/84","1984 Western New South Wales grasslands bushfires","New South Wales","Cobar",40.8,TRUE
"27/12/90","1990 VIC bushfire","Victoria","Strathbogie Ranges",33.6,TRUE
"28/12/90","1990 VIC bushfire","Victoria","Strathbogie Ranges",26,TRUE
"29/12/90","1990 VIC bushfire","Victoria","Strathbogie Ranges",28.2,TRUE
"30/12/90","1990 VIC bushfire","Victoria","Strathbogie Ranges",33.5,TRUE
"31/12/90","1990 VIC bushfire","Victoria","Strathbogie Ranges",34.5,TRUE
"1/1/91","1990 VIC bushfire","Victoria","Strathbogie Ranges",35,TRUE
"2/1/91","1990 VIC bushfire","Victoria","Strathbogie Ranges",35.5,TRUE
"3/1/91","1990 VIC bushfire","Victoria","Strathbogie Ranges",37,TRUE
"4/1/91","1990 VIC bushfire","Victoria","Strathbogie Ranges",35,TRUE
"5/1/91","1990 VIC bushfire","Victoria","Strathbogie Ranges",19.3,TRUE
"6/1/91","1990 VIC bushfire","Victoria","Strathbogie Ranges",18,TRUE
"7/1/91","1990 VIC bushfire","Victoria","Strathbogie Ranges",22.5,TRUE
"8/1/91","1990 VIC bushfire","Victoria","Strathbogie Ranges",27,TRUE
"9/1/91","1990 VIC bushfire","Victoria","Strathbogie Ranges",29.7,TRUE
"10/1/91","1990 VIC bushfire","Victoria","Strathbogie Ranges",32.8,TRUE
"27/12/93","1994 Eastern seaboard fires","New South Wales","Batemans Bay",23,TRUE
"28/12/93","1994 Eastern seaboard fires","New South Wales","Batemans Bay",25,TRUE
"29/12/93","1994 Eastern seaboard fires","New South Wales","Batemans Bay",24,TRUE
"30/12/93","1994 Eastern seaboard fires","New South Wales","Batemans Bay",22.9,TRUE
"31/12/93","1994 Eastern seaboard fires","New South Wales","Batemans Bay",23.9,TRUE
"1/1/94","1994 Eastern seaboard fires","New South Wales","Batemans Bay",22.3,TRUE
"2/1/94","1994 Eastern seaboard fires","New South Wales","Batemans Bay",36.4,TRUE
